文件名,格式,文件大小(KB),编解码复杂度,采样率,声道数,比特率,时长(秒),专业音频制作得分,移动设备得分,流媒体服务得分,归档存储得分,实时处理得分,语音内容得分,WAV平均得分,WAV-专业音频制作平均得分,WAV-移动设备平均得分,WAV-流媒体服务平均得分,WAV-归档存储平均得分,WAV-实时处理平均得分,WAV-语音内容平均得分,AAC平均得分,AAC-专业音频制作平均得分,AAC-移动设备平均得分,AAC-流媒体服务平均得分,AAC-归档存储平均得分,AAC-实时处理平均得分,AAC-语音内容平均得分,MP3平均得分,MP3-专业音频制作平均得分,MP3-移动设备平均得分,MP3-流媒体服务平均得分,MP3-归档存储平均得分,MP3-实时处理平均得分,MP3-语音内容平均得分
原始语音_48kHz_24bit.wav,WAV,839.23,1.0,48000,1,1152000,5.967542,9.4,8.6,8.9,9.5,7.2,8.8,,,,,,,,,,,,,,,,,,,,,
原始音乐_48kHz_24bit.wav,WAV,1406.29,1.0,48000,1,1152000,10.000000,9.3,8.3,8.6,9.3,7.1,8.5,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_16bit.wav,WAV,186.53,1.0,16000,1,256000,5.967563,9.5,8.9,9.2,9.7,7.4,9.1,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_8bit.wav,WAV,93.29,1.0,16000,1,128000,5.967563,9.5,9.0,9.2,9.7,7.5,9.2,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_MP3_128kbps.mp3,MP3,95.11,6.5,16000,1,128000,6.048000,6.9,7.9,7.8,7.6,6.8,8.1,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_MP3_64kbps.mp3,MP3,47.57,6.5,16000,1,64000,6.048000,6.9,7.9,7.8,7.6,6.8,8.2,,,,,,,,,,,,,,,,,,,,,
语音_22050Hz_16bit.wav,WAV,257.04,1.0,22050,1,352800,5.967574,9.5,8.9,9.1,9.7,7.4,9.1,,,,,,,,,,,,,,,,,,,,,
语音_32000Hz_16bit.wav,WAV,373.02,1.0,32000,1,512000,5.967563,9.4,8.8,9.1,9.6,7.4,9.0,,,,,,,,,,,,,,,,,,,,,
语音_44100Hz_16bit.wav,WAV,514.04,1.0,44100,1,705600,5.967551,9.4,8.7,9.0,9.6,7.3,9.0,,,,,,,,,,,,,,,,,,,,,
语音_44100Hz_8bit.wav,WAV,257.04,1.0,44100,1,352800,5.967551,9.5,8.9,9.1,9.7,7.4,9.1,,,,,,,,,,,,,,,,,,,,,
