文件名,格式,文件大小(KB),采样率,声道数,比特率,时长(秒),专业音频制作得分,移动设备得分,流媒体服务得分,归档存储得分,实时处理得分,语音内容得分,波形相关度,梅尔频谱RMSE,MFCC差异,谱质心差异,质量综合得分,WAV平均得分,WAV-专业音频制作平均得分,WAV-移动设备平均得分,WAV-流媒体服务平均得分,WAV-归档存储平均得分,WAV-实时处理平均得分,WAV-语音内容平均得分,AAC平均得分,AAC-专业音频制作平均得分,AAC-移动设备平均得分,AAC-流媒体服务平均得分,AAC-归档存储平均得分,AAC-实时处理平均得分,AAC-语音内容平均得分,MP3平均得分,MP3-专业音频制作平均得分,MP3-移动设备平均得分,MP3-流媒体服务平均得分,MP3-归档存储平均得分,MP3-实时处理平均得分,MP3-语音内容平均得分
原始语音_48kHz_24bit.wav,WAV,839.23,48000,1,1152000,5.967542,9.4,8.6,8.9,9.5,7.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
原始音乐_48kHz_24bit.wav,WAV,1406.29,48000,1,1152000,10.000000,4.2,6.3,5.9,5.2,5.7,6.4,0.015200000256299973,25.770000457763672,68.62000274658203,2438.18,32.4,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_16bit.wav,WAV,186.53,16000,1,256000,5.967563,9.1,8.8,9.0,9.4,7.4,9.0,0.9951000213623047,3.380000114440918,9.420000076293945,788.5,95.5,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_8bit.wav,WAV,93.29,16000,1,128000,5.967563,9.1,8.8,9.0,9.4,7.4,9.0,0.9951000213623047,4.809999942779541,11.380000114440918,1103.08,94.3,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_MP3_128kbps.mp3,MP3,95.11,16000,1,128000,6.048000,9.1,8.8,9.0,9.4,7.4,9.0,0.9934999942779541,3.6600000858306885,10.739999771118164,1242.16,94.5,,,,,,,,,,,,,,,,,,,,,
语音_16000Hz_MP3_64kbps.mp3,MP3,47.57,16000,1,64000,6.048000,9.1,8.8,9.0,9.4,7.4,9.1,0.9932000041007996,3.690000057220459,10.770000457763672,1175.8,94.6,,,,,,,,,,,,,,,,,,,,,
语音_22050Hz_16bit.wav,WAV,257.04,22050,1,352800,5.967574,9.4,8.8,9.1,9.6,7.4,9.1,0.9998999834060669,0.9800000190734863,2.0899999141693115,286.74,98.9,,,,,,,,,,,,,,,,,,,,,
语音_32000Hz_16bit.wav,WAV,373.02,32000,1,512000,5.967563,9.4,8.8,9.1,9.6,7.4,9.0,1.0,0.07000000029802322,0.07999999821186066,443.27,99.5,,,,,,,,,,,,,,,,,,,,,
语音_44100Hz_16bit.wav,WAV,514.04,44100,1,705600,5.967551,9.4,8.7,9.0,9.5,7.3,8.9,1.0,0.009999999776482582,0.019999999552965164,708.98,99.3,,,,,,,,,,,,,,,,,,,,,
语音_44100Hz_8bit.wav,WAV,257.04,44100,1,352800,5.967551,9.1,8.7,9.0,9.4,7.3,9.0,0.9998999834060669,3.799999952316284,8.25,1253.7,95.5,,,,,,,,,,,,,,,,,,,,,
